product_id,product_name,category,subcategory,brand,unit_price,cost_price,weight_lbs,launch_date,status
PROD_000001,Focused human-resource solution Claim,Home & Garden,Home & Garden_4,BrandF,393.37,236.02,16.06,2023-12-20,Discontinued
PROD_000002,Cloned intangible installation Give,Books,Books_1,BrandC,395.81,237.49,7.71,2023-02-24,Active
PROD_000003,Operative analyzing database There,Automotive,Automotive_4,BrandD,107.79,64.67,7.06,2022-07-15,Discontinued
PROD_000004,Visionary optimal standardization Again,Sports,Sports_4,BrandA,333.42,200.05,6.63,2024-09-20,Active
PROD_000005,Virtual object-oriented implementation Me,Books,Books_4,BrandF,324.33,194.6,13.62,2020-06-18,Active
PROD_000006,Multi-channeled exuding system engine In,Electronics,Electronics_3,BrandB,439.75,263.85,3.65,2024-09-14,Active
PROD_000007,Operative national synergy Simple,Electronics,Electronics_3,BrandB,302.32,181.39,14.6,2023-03-02,Active
PROD_000008,Robust directional matrix Discuss,Toys,Toys_5,BrandB,198.75,119.25,3.88,2021-10-19,Active
PROD_000009,Pre-emptive 4thgeneration info-mediaries Great,Toys,Toys_5,BrandA,264.76,158.86,13.77,2023-10-13,Discontinued
PROD_000010,Open-architected uniform concept Though,Beauty,Beauty_3,BrandG,44.29,26.57,12.5,2022-10-09,Active
PROD_000011,De-engineered regional monitoring Agreement,Books,Books_3,BrandE,336.78,202.07,8.11,2024-12-20,Active
PROD_000012,Reverse-engineered non-volatile protocol Agreement,Home & Garden,Home & Garden_4,BrandD,216.02,129.61,13.58,2020-11-08,Discontinued
PROD_000013,Optimized client-driven Local Area Network Court,Books,Books_1,BrandG,278.49,167.09,6.15,2020-09-07,Discontinued
PROD_000014,Multi-tiered fresh-thinking data-warehouse Look,Toys,Toys_4,BrandF,237.84,142.71,13.54,2022-01-26,Active
PROD_000015,Virtual homogeneous focus group Soldier,Home & Garden,Home & Garden_5,BrandB,149.06,89.43,6.77,2025-03-11,Discontinued
PROD_000016,Operative eco-centric artificial intelligence Many,Books,Books_2,BrandD,405.22,243.13,0.59,2020-07-13,Discontinued
PROD_000017,Quality-focused actuating hardware Door,Automotive,Automotive_5,BrandB,233.15,139.89,3.97,2023-09-08,Active
PROD_000018,Vision-oriented solution-oriented analyzer Somebody,Automotive,Automotive_1,BrandG,129.55,77.73,17.86,2020-08-03,Active
PROD_000019,Fully-configurable dedicated adapter Pretty,Toys,Toys_5,BrandD,96.18,57.71,9.34,2021-03-13,Discontinued
PROD_000020,De-engineered methodical secured line Building,Clothing,Clothing_4,BrandH,75.34,45.2,13.38,2023-04-04,Active
PROD_000021,Extended maximized standardization Establish,Automotive,Automotive_5,BrandG,416.98,250.19,8.97,2024-04-09,Discontinued
PROD_000022,Down-sized real-time portal Small,Automotive,Automotive_2,BrandH,137.0,82.2,16.81,2024-01-11,Active
PROD_000023,Vision-oriented cohesive function Box,Automotive,Automotive_1,BrandD,144.55,86.73,14.3,2023-05-01,Discontinued
PROD_000024,Integrated object-oriented service-desk Whatever,Books,Books_5,BrandF,166.66,99.99,1.7,2025-03-24,Discontinued
PROD_000025,Object-based transitional customer loyalty Bag,Sports,Sports_2,BrandG,350.04,210.02,1.38,2023-05-25,Active
PROD_000026,Self-enabling dynamic benchmark Same,Beauty,Beauty_2,BrandH,213.73,128.24,16.67,2024-04-19,Active
PROD_000027,Synergized radical workforce Camera,Electronics,Electronics_3,BrandG,243.72,146.23,6.04,2024-06-01,Active
PROD_000028,Re-contextualized zero tolerance analyzer Hand,Toys,Toys_3,BrandD,249.23,149.54,8.77,2023-02-06,Active
PROD_000029,Switchable holistic architecture Move,Toys,Toys_4,BrandF,337.75,202.65,14.51,2023-09-04,Active
PROD_000030,Advanced intangible matrix Born,Home & Garden,Home & Garden_5,BrandA,454.4,272.64,11.33,2022-08-09,Active
PROD_000031,Multi-lateral scalable knowledgebase Second,Clothing,Clothing_4,BrandG,76.49,45.9,3.72,2021-03-14,Active
PROD_000032,Enhanced upward-trending model Rather,Toys,Toys_3,BrandF,113.71,68.23,6.82,2021-10-14,Active
PROD_000033,Public-key zero-defect matrices Make,Books,Books_1,BrandG,133.61,80.17,9.46,2022-08-12,Active
PROD_000034,Upgradable optimizing flexibility Future,Beauty,Beauty_1,BrandD,328.57,197.14,15.11,2024-09-11,Discontinued
PROD_000035,Cross-group even-keeled knowledge user Either,Sports,Sports_2,BrandA,314.45,188.67,2.61,2024-03-10,Active
PROD_000036,Re-contextualized reciprocal secured line Hundred,Sports,Sports_3,BrandH,352.74,211.64,3.44,2022-02-12,Active
PROD_000037,Proactive fresh-thinking contingency Method,Home & Garden,Home & Garden_1,BrandE,62.97,37.78,18.58,2021-06-30,Active
PROD_000038,Fundamental global focus group Up,Toys,Toys_2,BrandD,47.24,28.34,2.13,2023-06-02,Active
PROD_000039,Grass-roots next generation access Nation,Clothing,Clothing_4,BrandA,180.13,108.08,13.26,2025-03-06,Active
PROD_000040,Configurable disintermediate success Investment,Beauty,Beauty_4,BrandA,426.29,255.78,2.2,2022-11-17,Active
PROD_000041,Virtual disintermediate solution Maybe,Automotive,Automotive_5,BrandC,223.39,134.03,19.31,2023-09-01,Active
PROD_000042,Pre-emptive local utilization Adult,Automotive,Automotive_5,BrandH,223.43,134.06,5.44,2020-11-25,Discontinued
PROD_000043,Face-to-face impactful solution Either,Clothing,Clothing_2,BrandE,442.0,265.2,15.03,2021-12-19,Active
PROD_000044,Reduced holistic leverage On,Beauty,Beauty_3,BrandA,252.21,151.33,3.72,2023-02-02,Discontinued
PROD_000045,Optimized value-added neural-net Give,Beauty,Beauty_5,BrandE,176.77,106.06,14.05,2022-03-12,Active
PROD_000046,Persevering encompassing function Enter,Electronics,Electronics_4,BrandD,51.95,31.17,9.82,2021-08-03,Discontinued
PROD_000047,Up-sized content-based functionalities Call,Automotive,Automotive_1,BrandH,229.61,137.76,1.95,2024-02-25,Discontinued
PROD_000048,Virtual system-worthy contingency Dark,Toys,Toys_5,BrandD,160.04,96.02,7.44,2021-07-08,Active
PROD_000049,Polarized even-keeled success Perform,Toys,Toys_4,BrandF,182.39,109.43,5.49,2025-04-27,Active
PROD_000050,Progressive radical forecast Black,Sports,Sports_3,BrandB,363.43,218.06,2.48,2024-08-07,Discontinued
PROD_000051,Implemented discrete hierarchy Country,Sports,Sports_3,BrandD,371.92,223.15,14.52,2021-12-12,Active
PROD_000052,Triple-buffered national capacity Eye,Clothing,Clothing_3,BrandD,155.16,93.1,3.67,2020-08-30,Active
PROD_000053,Business-focused neutral frame Save,Home & Garden,Home & Garden_1,BrandE,32.3,19.38,11.11,2025-02-26,Discontinued
PROD_000054,Sharable web-enabled matrix Board,Automotive,Automotive_5,BrandB,437.63,262.58,5.76,2024-10-19,Active
PROD_000055,Re-engineered executive leverage Measure,Automotive,Automotive_1,BrandF,100.34,60.2,5.12,2022-08-21,Active
PROD_000056,Enterprise-wide actuating extranet Yeah,Clothing,Clothing_1,BrandB,206.35,123.81,11.58,2024-09-29,Active
PROD_000057,Customizable asymmetric initiative Million,Home & Garden,Home & Garden_3,BrandC,407.46,244.48,1.8,2020-10-21,Discontinued
